sample_id,patch_name,is_hard,sci_res2_norm,baseline_dice,ours_dice,delta_dice,baseline_recall,ours_recall,delta_recall,baseline_fp_pixels,ours_fp_pixels,delta_fp_pixels,baseline_fn_pixels,ours_fn_pixels,delta_fn_pixels
21,21_y64_x64.png,False,0.4269723892211914,0.9113162159919739,0.917754054069519,0.006437838077545166,0.9058635783571456,0.9258077346397776,0.01994415628263202,206,230,24,236,186,-50
21,21_y64_x128.png,False,0.42049455642700195,0.9134310483932495,0.9195060133934021,0.006074965000152588,0.894114164761567,0.9139307870040497,0.019816622242482707,215,250,35,358,291,-67
21,21_y64_x192.png,False,0.3798713982105255,0.894508421421051,0.9001479148864746,0.005639493465423584,0.8879730202773585,0.9119520385464517,0.02397901826909321,260,305,45,299,235,-64
21,21_y64_x256.png,False,0.42139333486557007,0.8840436339378357,0.8874585628509521,0.003414928913116455,0.9024686325274437,0.9206798829596119,0.018211250432168202,344,381,37,241,196,-45
21,21_y64_x320.png,False,0.4316003620624542,0.8684014678001404,0.8727537393569946,0.004352271556854248,0.8943338392325991,0.917304742637546,0.022970903404946896,324,362,38,207,162,-45
21,21_y128_x64.png,False,0.3837968707084656,0.9101602435112,0.9055627584457397,-0.004597485065460205,0.9119033561817814,0.9281084239006823,0.016205067718900845,312,413,101,299,244,-55
21,21_y128_x128.png,False,0.4292093813419342,0.9087534546852112,0.911608099937439,0.002854645252227783,0.9198497153417353,0.9380087635002856,0.018159048158550295,334,383,49,256,198,-58
21,21_y128_x192.png,False,0.38636189699172974,0.8978176712989807,0.9019607901573181,0.004143118858337402,0.9095041284731233,0.9219008226367734,0.01239669416365008,282,296,14,219,189,-30
21,21_y128_x256.png,False,0.4006681740283966,0.8742667436599731,0.8823232054710388,0.008056461811065674,0.890852386222181,0.9080041532848017,0.01715176706262067,283,289,6,210,177,-33
21,21_y128_x320.png,False,0.4678260087966919,0.8032454252243042,0.8080971837043762,0.0048517584800720215,0.8714788655679677,0.8785211190271028,0.007042253459135117,339,336,-3,146,138,-8
21,21_y128_x384.png,False,0.5694952011108398,0.6934131979942322,0.692307710647583,-0.00110548734664917,0.7130541784106629,0.6982758534695093,-0.014778324941153609,279,259,-20,233,245,12
21,21_y192_x0.png,True,0.62925124168396,0.8790262937545776,0.8796791434288025,0.0006528496742248535,0.8680738760830434,0.8680738760830434,0.0,365,360,-5,450,450,0
21,21_y192_x64.png,False,0.3825763165950775,0.8638147711753845,0.855920672416687,-0.00789409875869751,0.8570872240767631,0.8570872240767631,0.0,327,374,47,367,367,0
21,21_y192_x128.png,False,0.42940589785575867,0.8297345042228699,0.8284400701522827,-0.0012944340705871582,0.8939740587797554,0.8932112822790902,-0.000762776500665252,342,345,3,139,140,1
21,21_y192_x192.png,False,0.4059780240058899,0.8175119161605835,0.8201313018798828,0.0026193857192993164,0.8813084029784262,0.8757009263953185,-0.005607476583107673,294,278,-16,127,133,6
21,21_y192_x256.png,False,0.34366703033447266,0.7883817553520203,0.7899159789085388,0.0015342235565185547,0.8407079539733509,0.831858396563105,-0.008849557410245845,231,217,-14,126,133,7
