patch_name,sci_res2_norm,fov_ratio,sample_id,is_hard,j3_dice,j3_recall,p0_dice,p0_recall,p5_dice,p5_recall,delta_j3_p0_dice,delta_j3_p0_recall,delta_j3_p5_dice,delta_j3_p5_recall,j3_vs_p0,j3_vs_p5
21_y64_x64.png,0.4269723892211914,0.831726,21,False,0.9078470826803882,0.899880331472356,0.9113162120559466,0.9058635783571456,0.9132329637218047,0.9194256046293353,-0.003469129375558433,-0.0059832468847895726,-0.005385881041416574,-0.019545273156979293,tied,worse
21_y64_x128.png,0.4204945564270019,0.990601,21,False,0.9125094770090835,0.8899733780243319,0.9134310320087158,0.894114164761567,0.914568345451786,0.9023957382360374,-0.0009215549996323125,-0.004140786737235169,-0.0020588684427025328,-0.012422360211705508,tied,tied
21_y64_x192.png,0.3798713982105255,1.0,21,False,0.8955280687049894,0.8816035935496306,0.894508398009986,0.8879730202773585,0.8954322387779686,0.8887223645982676,0.0010196706950033052,-0.006369426727727889,9.582992702072968e-05,-0.007118771048637007,tied,tied
21_y64_x256.png,0.42139333486557,1.0,21,False,0.8801916935299686,0.891946576722191,0.8840436077620543,0.9024686325274437,0.8852852855149443,0.8947794379005283,-0.0038519142320856403,-0.010522055805252672,-0.0050935919849757205,-0.0028328611783372537,tied,worse
21_y64_x320.png,0.4316003620624542,0.964294,21,False,0.8632098768809633,0.8922919811521594,0.8684014873149901,0.8943338392325991,0.8760864169950673,0.9004594134739182,-0.005191610434026828,-0.0020418580804397735,-0.012876540114103996,-0.008167432321758872,worse,worse
21_y128_x64.png,0.3837968707084656,0.99762,21,False,0.898737892722721,0.902180315550441,0.9101602706805466,0.9119033561817814,0.9135874310247492,0.9251620479517912,-0.011422377957825636,-0.00972304063134044,-0.014849538302028176,-0.022981732401350263,worse,worse
21_y128_x128.png,0.4292093813419342,1.0,21,False,0.9114947893739387,0.9173450190440042,0.9087534798812968,0.9198497153417353,0.9149198521656599,0.9292423264582268,0.0027413094926418413,-0.0025046962977310905,-0.0034250627917211673,-0.011897307414222569,tied,tied
21_y128_x192.png,0.3863618969917297,1.0,21,False,0.8982701814286034,0.9012396656973567,0.8978176628639248,0.9095041284731233,0.898134863910361,0.90537189708524,0.000452518564678539,-0.008264462775766646,0.0001353175182423616,-0.004132231387883323,tied,tied
21_y128_x256.png,0.4006681740283966,1.0,21,False,0.8764160662296188,0.8846153800175915,0.8742667690021251,0.890852386222181,0.8736462097121036,0.8804573758811987,0.002149297227493685,-0.006237006204589446,0.002769856517515157,0.00415800413639289,tied,tied
21_y128_x320.png,0.4678260087966919,1.0,21,False,0.7944000008223999,0.8741197106151434,0.8032454369036696,0.8714788655679677,0.8035426738987814,0.8785211190271028,-0.008845436081269642,0.002640845047175655,-0.009142673076381502,-0.004401408411959462,worse,worse
21_y128_x384.png,0.5694952011108398,0.966431,21,False,0.6919163386550801,0.7536945719988354,0.6934131754885439,0.7130541784106629,0.6997084565614667,0.7389162470576817,-0.0014968368334637994,0.04064039358817251,-0.007792117906386675,0.01477832494115372,tied,worse
21_y192_x0.png,0.62925124168396,0.875671,21,True,0.875658279877621,0.8774552891308844,0.8790262730012969,0.8680738760830434,0.8858474084364482,0.8918205778603912,-0.003367993123675861,0.009381413047841014,-0.010189128558827143,-0.014365288729506709,tied,worse
