Dataset,Method,n_seeds,Dice mean,Dice std,Recall mean,Recall std,clDice mean,clDice std,Hard Dice mean,Hard Dice std
CHASE_DB1 (1st observer),P0,2,0.7826041958718802,0.0035025688127353627,0.7543364772469177,0.019224349252161488,0.8563465781170639,0.002279960890057331,0.6344691497612402,0.02208431401827543
CHASE_DB1 (1st observer),CDC (J3),2,0.7794864387861673,0.005905754234275973,0.7753620440570621,0.010124027620858345,0.864707587304659,0.0066963813966441355,0.7052948915639072,0.004460252090980166
