Method,seed,Dice @0.5,Recall @0.5,clDice @0.5,Hard Dice @0.5 (thin-vessel proxy),run_dir
P0,42,0.7861067646846156,0.7735608264990792,0.8586265390071213,0.6565534637795156,outputs\ft_chase_p0_seed42
P0,40,0.7791016270591449,0.7351121279947562,0.8540666172270066,0.6123848357429648,outputs\ft_chase_p0_seed40
CDC (J3),42,0.7853921930204433,0.7652380164362037,0.8714039687013031,0.700834639472927,outputs\ft_chase_j3_seed42
CDC (J3),40,0.7735806845518913,0.7854860716779204,0.8580112059080148,0.7097551436548873,outputs\ft_chase_j3_seed40
