method,primary_hd_seed42,hd_at_0_5_seed42,vd_at_0_5_seed42,best_hard_dice_th_seed42,hard_recall_at_best_hd_seed42,multi_seed_primary_hd_mean,multi_seed_primary_hd_std,multi_seed_hd_0_5_mean,multi_seed_hd_0_5_std,multi_seed_vd_0_5_mean,multi_seed_vd_0_5_std,multi_seed_best_hd_th_mean,multi_seed_hr_at_best_hd_mean,multi_seed_hr_at_best_hd_std,cross_split_primary_hd_mean,cross_split_primary_hd_std,cross_split_hd_0_5_mean,cross_split_hd_0_5_std,cross_split_vd_0_5_mean,cross_split_vd_0_5_std
P0_baseline,0.7346782118357121,0.7309914610311695,0.8103641556678753,0.3,0.7445685276719971,0.7347137117988298,0.00045901306025803183,0.7331177855327115,0.001756349394052075,0.8104423094683932,0.0004528458731420979,0.3666666666666667,0.7517281340055151,0.007131743705827856,0.7128196787959971,0.014232176057378643,0.7105385574565966,0.013132980101676522,0.7887113251643385,0.013309472152334845
P5_oracle_matched_trigger,0.7374339064055633,0.7346934449304218,0.8107983588242674,0.3,0.7508093193922433,0.7353594373022657,0.0015304179055895633,0.7334975626325241,0.0011139329207722388,0.8111760720282571,0.00033875738228314304,0.3833333333333333,0.7490828613679289,0.0039546320246008106,0.7146878837995989,0.015382370375569008,0.7115176032459036,0.015173114285835043,0.7914267256368036,0.011325809727759272
J3_joint_detach_false,0.7385778641003746,0.7365392505023658,0.8110656916385035,0.35,0.7641069577840771,0.7361251436470578,0.0018005912047749408,0.7351424012017168,0.0010056589730662667,0.8111718822976082,0.0010997392558470588,0.43333333333333335,0.7559914461740523,0.006001010797094225,0.7149934155473079,0.016134693727175742,0.7137177350246768,0.015709818244787153,0.7906260958203868,0.012294410047956759
