Dataset,Method,ΔDice,ΔRecall,ΔclDice,ΔHard Dice (thin-vessel proxy),seed
CHASE_DB1 (1st observer),P0,0.6075028783571639,0.6706627969152318,0.3254439030817322,0.4228339149730602,42
CHASE_DB1 (1st observer),CDC (J3),0.5163685333479331,0.5963972368897598,0.33054530988821074,0.3929108703517666,42
HRF all (manual1; FOV mask),P0,0.7250875554474991,0.7454909675591469,0.3553291039137969,0.4694219379589458,42
HRF all (manual1; FOV mask),CDC (J3),0.6724166829152235,0.6979584176557446,0.36412013066840526,0.4542420145266813,42
