Method,Hard Dice @0.5 (thin-vessel proxy),Dice @0.5,Recall @0.5,clDice @0.5,internal_id
P0 U-Net baseline (zero-shot),0.23371954880645537,0.17860388632745175,0.10289802958384746,0.5331826359253891,p0_baseline_zeroshot_chase
CDC / J3 joint (zero-shot),0.30792376912116043,0.2690236596725102,0.16884077954644391,0.5408586588130924,cdc_j3_zeroshot_chase
Attention U-Net baseline (zero-shot),0.4466372198976889,0.3908234289209169,0.29840737972137893,0.5695640328516459,attention_unet_baseline_zeroshot_chase
Swin-UNet baseline (zero-shot),0.3793773124924635,0.3221493692966503,0.24500467308325996,0.531789055358439,swin_unet_baseline_zeroshot_chase
nnU-Net v2 (zero-shot),0.6810536660834774,0.6258800933122128,0.5905773792766427,0.7659073093543237,nnunet_v2_zeroshot_chase
