Dataset,Method,seed,ΔDice,ΔRecall,ΔclDice,ΔHard Dice (thin-vessel proxy),run_dir
CHASE_DB1 (1st observer),P0,42,0.6075028783571639,0.6706627969152318,0.3254439030817322,0.4228339149730602,outputs\ft_chase_p0_seed42
CHASE_DB1 (1st observer),P0,40,0.6004977407316932,0.6322140984109088,0.32088398130161755,0.37866528693650936,outputs\ft_chase_p0_seed40
CHASE_DB1 (1st observer),CDC (J3),42,0.5163685333479331,0.5963972368897598,0.33054530988821074,0.3929108703517666,outputs\ft_chase_j3_seed42
CHASE_DB1 (1st observer),CDC (J3),40,0.5045570248793811,0.6166452921314765,0.31715254709492247,0.4018313745337269,outputs\ft_chase_j3_seed40
HRF all (manual1; FOV mask),P0,42,0.7250875554474991,0.7454909675591469,0.3553291039137969,0.4694219379589458,outputs\ft_hrf_p0_seed42
HRF all (manual1; FOV mask),P0,40,0.7338780752788012,0.7573006767205055,0.36398741818923785,0.4968621026160075,outputs\ft_hrf_p0_seed40
HRF all (manual1; FOV mask),CDC (J3),42,0.6724166829152235,0.6979584176557446,0.36412013066840526,0.4542420145266813,outputs\ft_hrf_j3_seed42
HRF all (manual1; FOV mask),CDC (J3),40,0.6858957472683415,0.7468973334579039,0.37230799046987656,0.5138841552667567,outputs\ft_hrf_j3_seed40
