Method (paper),Global Dice @0.5,Hard Dice @0.5,clDice Hard @0.5,Primary Hard Dice,best τ,internal_id
Baseline (P0),0.8103641556678753,0.7309914610311695,0.8915060422414806,0.7346782118357121,0.3,P0_baseline
Oracle-weighted reference (P5),0.8107983588242674,0.7346934449304218,0.897332499243852,0.7374339064055633,0.3,P5_oracle_matched_trigger
CDC (proposed; internal J3),0.8106581636587372,0.731845955881178,0.9035612620698967,0.7324110860420554,0.4,J3_joint_detach_false
Attention U-Net baseline,0.8052173844469089,0.7260491561290751,0.8907251281752023,0.7272088067915459,0.3,attention_unet_baseline
Swin-UNet baseline,0.8043913828781576,0.7214856506311237,0.884653568836394,0.7240115635794577,0.35,swin_unet_baseline
nnU-Net v2 baseline,0.8046709604885081,0.7242107365010573,0.902926998852092,0.728503779293305,0.3,nnunet_v2
