Method,seed,Dice @0.5,Recall @0.5,clDice @0.5,Hard Dice @0.5 (thin-vessel proxy),run_dir
P0,42,0.7543155014134569,0.7610084521074587,0.8233798235900102,0.48744530741128467,outputs\ft_hrf_p0_seed42
P0,40,0.763106021244759,0.7728181612688173,0.8320381378654511,0.5148854720683463,outputs\ft_hrf_p0_seed40
CDC (J3),42,0.7420074825598065,0.7363788096827949,0.8241054057386619,0.5140002452339634,outputs\ft_hrf_j3_seed42
CDC (J3),40,0.7554865469129245,0.7853177254849542,0.8322932655401332,0.5736423859740387,outputs\ft_hrf_j3_seed40
