run_id,method,seed,primary_hard_dice_mean,hard_dice_mean_at_0_5,val_dice_mean_at_0_5,best_hard_dice_threshold,hard_recall_at_best_hard_dice_threshold,val_sci_corr_pearson,val_sci_corr_spearman,pct_pred_above_tau,pct_pred_above_tau_on_true_hard
P0_baseline_seed42,P0_baseline,seed42,0.7346782118357121,0.7309914610311695,0.8103641556678753,0.3,0.7445685276719971,,,,
P0_baseline_seed40,P0_baseline,seed40,0.7352927943900732,0.7352927943900732,0.8099309110605492,0.5,0.7491558903348214,,,,
P0_baseline_seed41,P0_baseline,seed41,0.7341701291707043,0.7330691011768918,0.8110318616767553,0.3,0.7614599840097266,,,,
P5_oracle_matched_trigger_seed42,P5_oracle_matched_trigger,seed42,0.7374339064055633,0.7346934449304218,0.8107983588242674,0.3,0.7508093193922433,,,,
P5_oracle_matched_trigger_seed40,P5_oracle_matched_trigger,seed40,0.7348567136515545,0.7320115511174716,0.8116201430454519,0.35,0.7528264944866269,,,,
P5_oracle_matched_trigger_seed41,P5_oracle_matched_trigger,seed41,0.7337876918496791,0.7337876918496791,0.8111097142150518,0.5,0.7436127702249165,,,,
J3_joint_detach_false_seed42,J3_joint_detach_false,seed42,0.7385778641003746,0.7365392505023658,0.8110656916385035,0.35,0.7641069577840771,0.5919465957022505,0.5728250590180249,0.093,0.2857
J3_joint_detach_false_seed40,J3_joint_detach_false,seed40,0.7354915015772673,0.7346755666604652,0.8098812208395626,0.4,0.7540835855667011,0.583892214070767,0.6340505114109376,0.2035,0.5143
J3_joint_detach_false_seed41,J3_joint_detach_false,seed41,0.7343060652635318,0.7342123864423195,0.8125687344147586,0.55,0.7497837951713787,0.5604377691830277,0.586826657987892,0.407,0.8857
