patch_name,is_hard,sci_res2_norm,p0_dice,p5_dice,j1_dice,j2_dice,j3_dice
21_y64_x64.png,False,0.4269723892211914,0.9113162120559466,0.9132329637218048,0.9139230465808745,0.9129308628951367,0.9078470826803882
21_y64_x128.png,False,0.4204945564270019,0.9134310320087158,0.914568345451786,0.9155288823472935,0.9130434783921445,0.9125094770090836
21_y64_x192.png,False,0.3798713982105255,0.894508398009986,0.8954322387779686,0.8927765239037312,0.8932478312085103,0.8955280687049894
21_y64_x256.png,False,0.42139333486557,0.8840436077620543,0.8852852855149443,0.8875344084004435,0.8850846125834619,0.8801916935299686
21_y64_x320.png,False,0.4316003620624542,0.8684014873149901,0.8760864169950673,0.8675109598940309,0.865671642119717,0.8632098768809633
21_y128_x64.png,False,0.3837968707084656,0.9101602706805466,0.9135874310247492,0.9029377881582117,0.9102863823636961,0.898737892722721
21_y128_x128.png,False,0.4292093813419342,0.9087534798812968,0.91491985216566,0.9061882318592243,0.9110528751178466,0.9114947893739388
21_y128_x192.png,False,0.3863618969917297,0.8978176628639248,0.898134863910361,0.8984107827430884,0.8982599797374412,0.8982701814286034
21_y128_x256.png,False,0.4006681740283966,0.8742667690021251,0.8736462097121036,0.8749063673535422,0.8721496288184739,0.8764160662296188
21_y128_x320.png,False,0.4678260087966919,0.8032454369036696,0.8035426738987814,0.7816091962390451,0.7842356696487432,0.7944000008223999
21_y128_x384.png,False,0.5694952011108398,0.6934131754885439,0.6997084565614667,0.6802646103623781,0.6825938584607858,0.6919163386550801
21_y192_x0.png,True,0.62925124168396,0.8790262730012969,0.8858474084364482,0.8810317347036202,0.8879765397537001,0.875658279877621
21_y192_x64.png,False,0.3825763165950775,0.863814756939139,0.8618110238940728,0.8596822998114934,0.873858114919615,0.8462135925316241
21_y192_x128.png,False,0.4294058978557586,0.829734513877046,0.8336327709894619,0.8214654288907278,0.8255319155122982,0.834048641509125
21_y192_x192.png,False,0.4059780240058899,0.8175119210337584,0.8290748906208154,0.8179129707734981,0.8216310518027429,0.8304042186713346
21_y192_x256.png,False,0.3436670303344726,0.788381743992995,0.7792521123084915,0.7812678481937873,0.7818831955787652,0.7841726631644325
21_y192_x320.png,False,0.5593909621238708,0.6776859523159035,0.6811000603797539,0.6663007702178881,0.6569936177771699,0.6819747435018672
21_y192_x384.png,True,0.7820011973381042,0.5873605973521648,0.612294585439473,0.5988571451493877,0.5856224454376245,0.614035089976403
21_y192_x437.png,True,0.8816248774528503,0.6048324270862633,0.5970381948788916,0.6265233001682917,0.6199421992778743,0.6252739253084446
21_y256_x0.png,False,0.5043317675590515,0.8515198755816058,0.8649765260751614,0.874557316170443,0.8604382932325292,0.8559001515584339
21_y256_x64.png,False,0.3785229325294494,0.8556869142770344,0.8437884382046157,0.8687500002563476,0.8604838712490245,0.8409321178501882
21_y256_x128.png,False,0.4330912232398987,0.8116071436981823,0.7946469783357314,0.8129088538468867,0.7882882892419446,0.7992766736018233
21_y256_x192.png,True,0.6142100691795349,0.7495338735268249,0.7318327991522007,0.7426557006894494,0.7188106029811855,0.754669989074284
21_y256_x256.png,False,0.5735886693000793,0.7348668296920894,0.7282948174372591,0.7300683386670368,0.7159874625956899,0.73884592659818
21_y256_x320.png,True,0.6356154680252075,0.7022758954840878,0.70244821232369,0.6843018227046754,0.6823855770578567,0.7010402546312063
21_y256_x384.png,True,0.859097957611084,0.6390471277107865,0.6498951800319959,0.6487524009176947,0.6380670629286634,0.6497313158293536
21_y256_x437.png,True,1.0,0.580592108712236,0.5812973919014541,0.6030303060376492,0.5653876306547562,0.600000003030303
21_y320_x64.png,False,0.3105194270610809,0.8809924308641874,0.8637607920325104,0.8891571114682013,0.8754920242894302,0.867439933994532
21_y320_x128.png,False,0.3334413766860962,0.883731410807275,0.8691460058100414,0.8772468218385647,0.8688598470733218,0.8685042931122814
21_y320_x192.png,False,0.4316904842853546,0.8555691558887113,0.8510504865128552,0.8391856009466344,0.8481481486168267,0.8466707396253185
21_y320_x256.png,False,0.5058727264404297,0.8484848489349827,0.8557427263223807,0.839908519611468,0.8377811099316909,0.8450370374961865
21_y320_x320.png,False,0.5766934156417847,0.8074494955572933,0.8152661968721417,0.7986857831580473,0.7988650699909676,0.803488010577739
21_y320_x384.png,True,0.7871647477149963,0.6868792488924242,0.7065616813303849,0.6904188748655807,0.6838966218494203,0.6838521416155051
21_y384_x64.png,False,0.4018846154212951,0.8316229576905247,0.8270106228110371,0.8324165756053664,0.8293768552322817,0.8274568648632525
21_y384_x128.png,False,0.3591182231903076,0.8848892407340007,0.8745476480206119,0.8754117421518858,0.8763028517673493,0.871064768656377
21_y384_x192.png,False,0.3693583607673645,0.8942060512275933,0.8876404496636427,0.8852204313745962,0.8895874265430502,0.8887112889336438
21_y384_x256.png,False,0.4283750653266907,0.8699728599309824,0.868027888774831,0.8640233523132491,0.8700980395340734,0.8724464377866307
21_y384_x320.png,False,0.4398208260536194,0.8660274686031939,0.8706493509853264,0.8600405683061851,0.8659476120545773,0.8708183225146209
21_y384_x384.png,False,0.5617516040802002,0.8348781330762852,0.8430431807983442,0.8288896394570042,0.8371147990615821,0.8397306402702672
21_y448_x192.png,False,0.5178101658821106,0.8778383290693954,0.8630705397347384,0.8734602466439861,0.8760923148642342,0.8673094585231648
21_y448_x256.png,False,0.5348518490791321,0.8720253837334072,0.8573692555272867,0.8667535857451015,0.875357793714916,0.8619313650919623
21_y456_x192.png,False,0.5069828629493713,0.867305061922558,0.850555555970679,0.8640386166156111,0.8654876745297758,0.853611645554486
21_y456_x256.png,False,0.5036824345588684,0.8577749688439477,0.8389750084183012,0.8520599255553686,0.8617583104636275,0.8447561369309655
22_y64_x64.png,False,0.4515056908130646,0.8155706734105417,0.8262980955311987,0.819303338826911,0.8110737006693839,0.8183856509028937
22_y64_x128.png,True,0.5847282409667969,0.7902439029506247,0.7949280668253401,0.7958090808013759,0.7952095813288395,0.7897848196032519
22_y64_x192.png,False,0.5611215233802795,0.799648120079947,0.8009581885867636,0.8045540801084672,0.8058999576616077,0.8029914534124115
22_y64_x256.png,False,0.4473684430122375,0.8263069143627595,0.8254101812675428,0.8315018318447257,0.8338480546966275,0.8310064600312431
22_y64_x320.png,False,0.4953331053256988,0.814015074732094,0.8123611395427972,0.8281157711594491,0.8267622464620425,0.8130918077128617
22_y128_x64.png,False,0.54018235206604,0.8146911523618147,0.8230842009860829,0.8278945019492748,0.8085883969653076,0.8150261535543839
22_y128_x128.png,False,0.5663115978240967,0.8267640841631146,0.8387219478152873,0.8293290624144348,0.8257575760718658,0.8315730964766109
22_y128_x192.png,False,0.5750489830970764,0.824195906754028,0.8366345632625213,0.8219558801077717,0.8171745155519832,0.8314367001574738
22_y128_x256.png,False,0.5609104037284851,0.8094415662839348,0.8168156746874345,0.8091491311817948,0.8129079046176434,0.817052827030486
22_y128_x320.png,False,0.5235212445259094,0.8129055518873368,0.8190777898291486,0.8251089802526435,0.8184518612293346,0.8117710392754871
22_y128_x384.png,False,0.5235865712165833,0.8496240603765052,0.8404395606733486,0.8483426226923693,0.8465798535450084,0.837273143453907
22_y192_x0.png,True,0.8072956204414368,0.6944140213887513,0.6906552111135595,0.7126925134748141,0.6828193850065012,0.6873589182428955
22_y192_x64.png,True,0.7491727471351624,0.7392950779513688,0.7484204487408948,0.7491891898670563,0.7303921575969713,0.7267950971196874
22_y192_x128.png,True,0.6265934109687805,0.7528089894253371,0.7757255942592992,0.7626004388541505,0.749155813436672,0.7632726346158691
22_y192_x192.png,False,0.5426118969917297,0.758104738908651,0.7923715786146676,0.7604562744648837,0.7426449593183521,0.7641881646003394
22_y192_x256.png,True,0.6109257936477661,0.7071672364943098,0.7390876280305625,0.720000000875,0.7133373575336833,0.7180783826862251
22_y192_x320.png,True,0.5993678569793701,0.7319735715829544,0.7521898848482909,0.7509025277675576,0.7273215251548,0.7373400118604897
22_y192_x384.png,False,0.577846109867096,0.8430953401124478,0.832838773727796,0.8431097392041682,0.8343382144209902,0.8304568530377711
22_y192_x437.png,True,0.681067943572998,0.8444650589912414,0.8403770145327196,0.8408816427522922,0.8432216418026104,0.8334115441366939
22_y256_x0.png,True,0.9527600407600404,0.5321739171115312,0.5345394775120109,0.5644171812544695,0.5295629860363069,0.5472000036224
22_y256_x64.png,True,0.8356077671051025,0.6877828067141801,0.6819296824123888,0.6858638755203295,0.6733052482830132,0.6803472782938149
22_y256_x128.png,True,0.8580194115638733,0.65994021053834,0.6647080438314064,0.6664454043596235,0.6455738820411515,0.6645412693427514
22_y256_x192.png,True,0.8000372052192688,0.5944751403620158,0.6217780135624512,0.6033898324291048,0.6083685961054602,0.6065747634858178
22_y256_x256.png,True,0.6302229166030884,0.6672879791831874,0.7053449076960031,0.6757912759803623,0.680938659197453,0.6844726134700198
22_y256_x320.png,False,0.5305317044258118,0.7668455582383854,0.7834808265974017,0.7626233320875702,0.7592178777675478,0.7670908559719123
22_y256_x384.png,False,0.4821863174438476,0.8444854640140202,0.8577430974523663,0.8592680751870454,0.8481898389896717,0.849432689589953
22_y256_x437.png,True,0.5935457348823547,0.8504594822882883,0.8670855487883268,0.8718031206823177,0.8640760782684439,0.8665672138793847
22_y320_x64.png,False,0.5738767385482788,0.7790476197490552,0.7625313290647515,0.7653679660451141,0.7577791343569886,0.7663438263730514
22_y320_x128.png,True,0.6539981365203857,0.7773797344488748,0.7751464227778293,0.7628719892232595,0.757257868364826,0.7731343289225514
22_y320_x192.png,False,0.5466936230659485,0.7955942628186623,0.8027770640196012,0.7938168851514462,0.7956989252193575,0.7992007997022957
22_y320_x256.png,False,0.5516217947006226,0.7907902223115685,0.781140862103781,0.7881852054598585,0.787330317308144,0.793969849821413
22_y320_x320.png,False,0.4787483215332031,0.8284625162463735,0.8330494041033872,0.8320166323658699,0.8274853804772654,0.8330150650689263
22_y320_x384.png,False,0.3685938417911529,0.8799762330956978,0.8895298530580763,0.8924452135345369,0.8977023270924889,0.8939125297075761
22_y384_x64.png,False,0.5000293254852295,0.7916270225447922,0.7919379851412776,0.7977528095867746,0.7916013795311772,0.7916145187997042
22_y384_x128.png,False,0.5021559000015259,0.8281786945271077,0.8257383969921132,0.8304808479411556,0.8268907566661959,0.8275862072612944
22_y384_x192.png,False,0.5025299191474915,0.8583261434713958,0.8610204434615694,0.8679433807361475,0.864673086898677,0.861810755851241
22_y384_x256.png,False,0.5207538604736328,0.8628454454745045,0.8607637717797165,0.868382232636646,0.8602830976514853,0.8666222076248379
22_y384_x320.png,False,0.5111030340194702,0.8539445631593024,0.8538011698497232,0.8492919759789413,0.8473110844763772,0.8559057848009944
22_y384_x384.png,False,0.4652696251869201,0.8842924434071422,0.8752019388626778,0.8646631312813531,0.8729303812628558,0.8761061949394485
22_y448_x192.png,False,0.5547835826873779,0.8448275865890946,0.846043165836827,0.8494392749953729,0.8460417682223368,0.8455560955668867
22_y448_x256.png,False,0.5562225580215454,0.8611346319620352,0.8679012348397094,0.8663934428967347,0.861398428089784,0.8648872338818804
22_y456_x192.png,False,0.5525642037391663,0.8372223788663976,0.8475129115316311,0.8475129115316311,0.8435336476224491,0.8458781366256461
