split,P0_primary_hard_dice,P5_primary_hard_dice,J3_primary_hard_dice,table
splitA_rs42,0.7346782118357121,0.7374339064055633,0.7385778641003746,per_split
splitB_rs100_seed42,0.7030658295684444,0.6996799475543485,0.6992573030301981,per_split
splitB_rs100_seed40,0.6977112722143923,0.7014938583541314,0.7009040193786922,per_split
splitC_rs200,0.7158234015654393,0.7201438228843526,0.7212344756799666,per_split
