quintile,n,sci_res2_norm_min,sci_res2_norm_max,sci_res2_norm_mean,p0_dice_mean,p0_dice_std,spearman_rho,spearman_pval
1,35,0.1668489724397659,0.4269723892211914,0.3710688531398773,0.8627657356541297,0.039861380396255856,,
2,34,0.4283750653266907,0.4917334914207458,0.4591040462255478,0.8313031840180077,0.06058510097071612,,
3,34,0.4951446652412414,0.530053973197937,0.5125192991074394,0.821587595551715,0.05072769511880604,,
4,34,0.5305317044258118,0.5807345509529114,0.5563664541525,0.8059660701623099,0.05021184312385424,,
5,35,0.5837335586547852,1.0,0.6913437298366002,0.7309914610311695,0.08841305737967614,,
ALL,172,0.1668489724397659,1.0,0.5182331022481586,0.8103641556678753,0.07435888509457493,-0.5864021527134141,2.8672882027630957e-17
