patch_name,gt_sci_res2_norm,fov_ratio,sample_id,is_hard,j3_dice,j3_recall,p0_dice,p0_recall,p5_dice,p5_recall,baseline_dice,baseline_recall,delta_dice_j3_vs_p0,delta_dice_j3_vs_p5,delta_recall_j3_vs_p0,delta_recall_j3_vs_p5,image_path,mask_path,fov_path,patch_y,patch_x,patch_size,stride,vessel_area,skeleton_len,junction_count,endpoint_count,component_count,endpoint_eff,sci_raw,sci_stable,sci_base,topo_density,sci_topo,sci_raw_norm,sci_stable_norm,sci_base_norm,topo_density_norm,sci_topo_norm,sci_area_trend,sci_res,sci_res_norm,sci_fov_trend,sci_res2,sci_res2_norm,is_true_hard,j3_vs_p0,j3_vs_p5
21_y64_x64.png,0.4269723892211914,0.831726,21,False,0.9078470826803882,0.899880331472356,0.9113162120559466,0.9058635783571456,0.9132329637218047,0.9194256046293353,0.9113162120559466,0.9058635783571456,-0.003469129375558433,-0.005385881041416574,-0.0059832468847895726,-0.019545273156979293,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,64,128,64,2507,507,12,9,2,5,0.2022337447058885,0.1841812803571661,0.1841812803571661,0.0300788948702387,0.1952612190950244,0.0233955848962068,0.0285767447203397,0.0285767447203397,0.503588855266571,0.0302836447954177,0.2671526968479156,-0.0718914717435836,0.3177974820137024,-0.0477762557566165,-0.024115215986967,0.4269723892211914,False,tied,worse
21_y64_x128.png,0.4204945564270019,0.990601,21,False,0.9125094770090835,0.8899733780243319,0.9134310320087158,0.894114164761567,0.914568345451786,0.9023957382360374,0.9134310320087158,0.894114164761567,-0.0009215549996323125,-0.0020588684427025328,-0.004140786737235169,-0.012422360211705508,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,128,128,64,3381,723,15,14,3,8,0.2138420579300737,0.1937905836216618,0.1937905836216618,0.0287690175827245,0.2049409130368179,0.0433577895164489,0.0527050234377384,0.0527050234377384,0.4679406285285949,0.0531595237553119,0.221592977643013,-0.0166520625352859,0.4723968207836151,0.0096346996724605,-0.0262867622077465,0.4204945564270019,False,tied,tied
21_y64_x192.png,0.3798713982105255,1.0,21,False,0.8955280687049894,0.8816035935496306,0.894508398009986,0.8879730202773585,0.8954322387779686,0.8887223645982676,0.894508398009986,0.8879730202773585,0.0010196706950033052,9.582992702072968e-05,-0.006369426727727889,-0.007118771048637007,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,192,128,64,2669,670,11,12,3,6,0.2510303475045697,0.2239674897873174,0.2239674897873174,0.0240298503876141,0.2347313003298749,0.1073085069656372,0.1284770220518112,0.1284770220518112,0.3389644026756286,0.1235627382993698,0.2576146125793457,-0.0228833109140396,0.4549573361873626,0.0170214362442493,-0.0399047471582889,0.3798713982105255,False,tied,tied
21_y64_x256.png,0.42139333486557,1.0,21,False,0.8801916935299686,0.891946576722191,0.8840436077620543,0.9024686325274437,0.8852852855149443,0.8947794379005283,0.8840436077620543,0.9024686325274437,-0.0038519142320856403,-0.0050935919849757205,-0.010522055805252672,-0.0028328611783372537,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,256,128,64,2471,691,11,19,4,11,0.2796438677472931,0.246581810896418,0.246581810896418,0.028002893950754,0.2603918194978526,0.1565136313438415,0.1852599084377288,0.1852599084377288,0.447090595960617,0.1842059195041656,0.2693558633327484,-0.0089640319347381,0.4939134120941162,0.0170214362442493,-0.0259854681789875,0.42139333486557,False,tied,worse
21_y64_x320.png,0.4316003620624542,0.964294,21,False,0.8632098768809633,0.8922919811521594,0.8684014873149901,0.8943338392325991,0.8760864169950673,0.9004594134739182,0.8684014873149901,0.8943338392325991,-0.005191610434026828,-0.012876540114103996,-0.0020418580804397735,-0.008167432321758872,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,320,128,64,1959,582,8,15,4,7,0.2970903507039798,0.2601235642064365,0.2601235642064365,0.0256872847820054,0.2734873003509986,0.1865154206752777,0.2192622423171997,0.2192622423171997,0.384071409702301,0.2151542603969574,0.3047213852405548,-0.0312340855598449,0.4315858781337738,-0.0086702900007367,-0.0225637964904308,0.4316003620624542,False,worse,worse
21_y128_x64.png,0.3837968707084656,0.99762,21,False,0.898737892722721,0.902180315550441,0.9101602706805466,0.9119033561817814,0.9135874310247492,0.9251620479517912,0.9101602706805466,0.9119033561817814,-0.011422377957825636,-0.014849538302028176,-0.00972304063134044,-0.022981732401350263,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,64,128,64,3394,684,19,15,4,7,0.2015321149041481,0.1835975048460353,0.1835975048460353,0.0379385959365702,0.1975283679486678,0.0221890173852443,0.0271109472960233,0.0271109472960233,0.7174902558326721,0.0356415398418903,0.2210083603858947,-0.0234799981117248,0.4532873630523681,0.0151088209822773,-0.0385888181626796,0.3837968707084656,False,worse,worse
21_y128_x128.png,0.4292093813419342,1.0,21,False,0.9114947893739387,0.9173450190440042,0.9087534798812968,0.9198497153417353,0.9149198521656599,0.9292423264582268,0.9087534798812968,0.9198497153417353,0.0027413094926418413,-0.0034250627917211673,-0.0025046962977310905,-0.011897307414222569,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,128,128,64,3194,748,16,18,4,10,0.234189103837855,0.2104141583436207,0.2104141583436207,0.0320855610683748,0.2239166709979906,0.0783475115895271,0.0944455936551094,0.0944455936551094,0.5582001805305481,0.0980046540498733,0.2302605509757995,-0.0063438862562179,0.501246452331543,0.0170214362442493,-0.0233653225004673,0.4292093813419342,False,tied,tied
21_y128_x192.png,0.3863618969917297,1.0,21,False,0.8982701814286034,0.9012396656973567,0.8978176628639248,0.9095041284731233,0.898134863910361,0.90537189708524,0.8978176628639248,0.9095041284731233,0.000452518564678539,0.0001353175182423616,-0.008264462775766646,-0.004132231387883323,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,192,128,64,2420,655,11,14,3,8,0.2706611559063588,0.2395373602096873,0.2395373602096873,0.0256488545702464,0.2518250780420053,0.1410665214061737,0.1675718128681183,0.1675718128681183,0.3830255270004272,0.1639602035284042,0.27253258228302,-0.0207075178623199,0.4610467553138733,0.0170214362442493,-0.0377289541065692,0.3863618969917297,False,tied,tied
21_y128_x256.png,0.4006681740283966,1.0,21,False,0.8764160662296188,0.8846153800175915,0.8742667690021251,0.890852386222181,0.8736462097121036,0.8804573758811987,0.8742667690021251,0.890852386222181,0.002149297227493685,0.002769856517515157,-0.006237006204589446,0.00415800413639289,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,256,128,64,1924,616,8,16,4,8,0.3201663185022541,0.2777577275264332,0.2777577275264332,0.0248376619344535,0.2915554325984004,0.2261979281902313,0.2635403871536255,0.2635403871536255,0.3609489500522613,0.2578544318675995,0.3074671030044555,-0.0159116685390472,0.4744689464569092,0.0170214362442493,-0.0329331047832965,0.4006681740283966,False,tied,tied
21_y128_x320.png,0.4678260087966919,1.0,21,False,0.7944000008223999,0.8741197106151434,0.8032454369036696,0.8714788655679677,0.8035426738987814,0.8785211190271028,0.8032454369036696,0.8714788655679677,-0.008845436081269642,-0.009142673076381502,0.002640845047175655,-0.004401408411959462,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,320,128,64,1136,513,6,16,6,4,0.4515845030670378,0.3726557205399667,0.3726557205399667,0.0290448337418161,0.3943031674320068,0.4521908164024353,0.5018222332000732,0.5018222332000732,0.4754469096660614,0.5006767511367798,0.3877017199993133,0.0066014528274536,0.5374767780303955,0.0170214362442493,-0.0104199834167957,0.4678260087966919,False,worse,worse
21_y128_x384.png,0.5694952011108398,0.966431,21,False,0.6919163386550801,0.7536945719988354,0.6934131754885439,0.7130541784106629,0.6997084565614667,0.7389162470576817,0.6934131754885439,0.7130541784106629,-0.0014968368334637994,-0.007792117906386675,0.04064039358817251,0.01477832494115372,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,384,128,64,806,433,4,17,6,5,0.5372208370071857,0.4299761347865913,0.4299761347865913,0.0306004611870563,0.4562910708343864,0.5994549989700317,0.645749568939209,0.645749568939209,0.5177832841873169,0.6471719741821289,0.4399424195289612,0.016348659992218,0.5647563934326172,-0.0073136277496814,0.0236622877418994,0.5694952011108398,False,tied,worse
