dataset,case_id,method,internal_id,dice@0.5,recall@0.5,cldice@0.5,image_path,gt_path,fov_path
CHASE_DB1 (1st observer),Image_06L,CDC (proposed; internal J3),J3_joint_detach_false,0.2533823662943794,0.15367035629715292,0.5347954674560434,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06L_1stHO.png,
CHASE_DB1 (1st observer),Image_06R,Baseline (P0),P0_baseline,0.09634334404976606,0.051359937576635824,0.48213366447035905,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R_1stHO.png,
CHASE_DB1 (1st observer),Image_06R,CDC (proposed; internal J3),J3_joint_detach_false,0.235411401942828,0.14148366960205105,0.5509260887679313,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_06R_1stHO.png,
CHASE_DB1 (1st observer),Image_07L,Baseline (P0),P0_baseline,0.16698606477866892,0.0944858699580985,0.5172484692943656,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07L_1stHO.png,
CHASE_DB1 (1st observer),Image_07L,CDC (proposed; internal J3),J3_joint_detach_false,0.343102535922172,0.22567905862193605,0.5992858639084366,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07L_1stHO.png,
CHASE_DB1 (1st observer),Image_07R,Baseline (P0),P0_baseline,0.1060107918182959,0.05788838943098344,0.4351703493376099,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07R_1stHO.png,
CHASE_DB1 (1st observer),Image_07R,CDC (proposed; internal J3),J3_joint_detach_false,0.3139467029760747,0.19907356649490188,0.5870991609511997,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_07R_1stHO.png,
CHASE_DB1 (1st observer),Image_08L,Baseline (P0),P0_baseline,0.12616366311679608,0.06980943475316803,0.36863584183254666,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08L_1stHO.png,
CHASE_DB1 (1st observer),Image_08L,CDC (proposed; internal J3),J3_joint_detach_false,0.1783839053777704,0.10406926127752877,0.37221940179170165,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08L_1stHO.png,
CHASE_DB1 (1st observer),Image_08R,Baseline (P0),P0_baseline,0.0766685222985093,0.04068269467465332,0.4130024309691093,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08R_1stHO.png,
CHASE_DB1 (1st observer),Image_08R,CDC (proposed; internal J3),J3_joint_detach_false,0.13179258392452278,0.0739312382046443,0.39160862212374137,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_08R_1stHO.png,
CHASE_DB1 (1st observer),Image_09L,Baseline (P0),P0_baseline,0.18875927889713678,0.1063803478690957,0.5673129882345809,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L_1stHO.png,
CHASE_DB1 (1st observer),Image_09L,CDC (proposed; internal J3),J3_joint_detach_false,0.27530868136425996,0.17782952765641744,0.46089570481174813,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09L_1stHO.png,
CHASE_DB1 (1st observer),Image_09R,Baseline (P0),P0_baseline,0.2707613652065773,0.16055224400335935,0.6002920426857887,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R_1stHO.png,
CHASE_DB1 (1st observer),Image_09R,CDC (proposed; internal J3),J3_joint_detach_false,0.35262233993409503,0.23453983080358057,0.5297397618788713,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_09R_1stHO.png,
CHASE_DB1 (1st observer),Image_10L,Baseline (P0),P0_baseline,0.13099523864824061,0.07510486716825354,0.38882770341922257,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10L_1stHO.png,
CHASE_DB1 (1st observer),Image_10L,CDC (proposed; internal J3),J3_joint_detach_false,0.22307423286659844,0.14333510886210798,0.43062445783892034,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10L_1stHO.png,
