group,n_patches,mean_gt_sci_res2_norm,mean_pred_sci,mean_delta_dice_frozen_vs_baseline,mean_delta_recall_frozen_vs_baseline,mean_fov_ratio,mean_vessel_area
pred_only,8,0.5278959944844246,0.6612464413046837,0.0075539460004943465,0.04629272714226199,0.862884625,2318.25
oracle_only,18,0.7029746803972456,0.4344240443574058,0.005776610245109109,0.02665272125943763,0.999705,1331.611111111111
both,8,0.7778987213969231,0.6580351963639259,0.0025989050871749186,0.026878615858675528,0.852546625,1815.625
neither,138,0.4785231276266817,0.4583369795826898,0.0015604662069966053,0.020002359404869673,0.9709764710144928,2266.7971014492755
